accel_id,trip_id,timestamp,elapsed_seconds,acc_x_m_s2,acc_y_m_s2,acc_z_m_s2,accel_mag_m_s2,speed_kmh,event_label
ACC_TRIP003_00000,TRIP223,2024-02-06T07:52:00Z,0,-0.375,-0.078,9.771,9.779,30.58,normal
ACC_TRIP003_00001,TRIP223,2024-02-06T07:52:01Z,1,-0.326,0.698,9.853,9.883,31.22,normal
ACC_TRIP003_00002,TRIP223,2024-02-06T07:52:02Z,2,-0.294,-0.19,9.798,9.804,32.09,normal
ACC_TRIP003_00003,TRIP223,2024-02-06T07:52:03Z,3,0.294,0.478,9.672,9.689,30.29,normal
ACC_TRIP003_00004,TRIP223,2024-02-06T07:52:04Z,4,0.316,-0.012,9.943,9.948,31.31,normal
ACC_TRIP003_00005,TRIP223,2024-02-06T07:52:05Z,5,0.385,-0.527,9.962,9.983,32.23,normal
ACC_TRIP003_00006,TRIP223,2024-02-06T07:52:06Z,6,-0.059,-0.245,9.832,9.835,30.81,normal
ACC_TRIP003_00007,TRIP223,2024-02-06T07:52:07Z,7,-0.18,-0.046,9.84,9.842,29.03,normal
ACC_TRIP003_00008,TRIP223,2024-02-06T07:52:08Z,8,-0.284,-0.553,9.735,9.755,30.24,normal
ACC_TRIP003_00009,TRIP223,2024-02-06T07:52:09Z,9,-0.131,0.014,9.827,9.828,29.87,normal
ACC_TRIP003_00010,TRIP223,2024-02-06T07:52:10Z,10,0.2,0.509,9.839,9.854,31.45,normal
ACC_TRIP003_00011,TRIP223,2024-02-06T07:52:11Z,11,-0.247,0.03,9.982,9.985,31.82,normal
ACC_TRIP003_00012,TRIP223,2024-02-06T07:52:12Z,12,-0.113,-0.63,9.758,9.779,30.92,normal
ACC_TRIP003_00013,TRIP223,2024-02-06T07:52:13Z,13,-0.664,-0.122,9.837,9.86,30.47,normal
ACC_TRIP003_00014,TRIP223,2024-02-06T07:52:14Z,14,-0.138,0.139,9.827,9.829,28.93,normal
ACC_TRIP003_00015,TRIP223,2024-02-06T07:52:15Z,15,0.178,-0.092,9.74,9.742,27.54,normal
ACC_TRIP003_00016,TRIP223,2024-02-06T07:52:16Z,16,0.304,0.459,9.979,9.994,28.33,normal
ACC_TRIP003_00017,TRIP223,2024-02-06T07:52:17Z,17,0.004,0.252,9.913,9.916,28.2,normal
ACC_TRIP003_00018,TRIP223,2024-02-06T07:52:18Z,18,0.145,-0.117,9.995,9.997,28.04,normal
ACC_TRIP003_00019,TRIP223,2024-02-06T07:52:19Z,19,0.202,-0.418,9.785,9.796,27.18,normal
ACC_TRIP003_00020,TRIP223,2024-02-06T07:52:20Z,20,-0.157,0.141,9.807,9.809,25.79,normal
ACC_TRIP003_00021,TRIP223,2024-02-06T07:52:21Z,21,0.025,0.311,9.8,9.805,23.94,normal
ACC_TRIP003_00022,TRIP223,2024-02-06T07:52:22Z,22,-0.508,0.198,9.816,9.831,24.49,normal
ACC_TRIP003_00023,TRIP223,2024-02-06T07:52:23Z,23,0.168,-0.516,9.748,9.763,25.1,normal
ACC_TRIP003_00024,TRIP223,2024-02-06T07:52:24Z,24,0.486,0.075,9.983,9.995,27.77,normal
ACC_TRIP003_00025,TRIP223,2024-02-06T07:52:25Z,25,-0.141,-0.188,9.859,9.862,26.84,normal
ACC_TRIP003_00026,TRIP223,2024-02-06T07:52:26Z,26,0.477,-0.202,9.633,9.647,26.55,normal
ACC_TRIP003_00027,TRIP223,2024-02-06T07:52:27Z,27,0.412,0.099,9.753,9.762,31.21,normal
ACC_TRIP003_00028,TRIP223,2024-02-06T07:52:28Z,28,-0.041,-0.199,9.802,9.804,31.68,normal
ACC_TRIP003_00029,TRIP223,2024-02-06T07:52:29Z,29,0.303,-0.014,9.715,9.72,31.19,normal
ACC_TRIP003_00030,TRIP223,2024-02-06T07:52:30Z,30,-0.08,-0.234,9.757,9.76,30.71,normal
ACC_TRIP003_00031,TRIP223,2024-02-06T07:52:31Z,31,0.224,0.366,9.871,9.88,29.45,normal
ACC_TRIP003_00032,TRIP223,2024-02-06T07:52:32Z,32,0.129,-0.304,9.997,10.002,27.73,normal
ACC_TRIP003_00033,TRIP223,2024-02-06T07:52:33Z,33,0.401,-0.528,9.859,9.882,26.67,normal
ACC_TRIP003_00034,TRIP223,2024-02-06T07:52:34Z,34,-0.024,-0.357,9.769,9.776,27.37,normal
ACC_TRIP003_00035,TRIP223,2024-02-06T07:52:35Z,35,0.574,0.511,9.797,9.827,25.24,normal
ACC_TRIP003_00036,TRIP223,2024-02-06T07:52:36Z,36,-0.184,-0.633,9.833,9.855,24.11,normal
ACC_TRIP003_00037,TRIP223,2024-02-06T07:52:37Z,37,-0.407,0.141,9.802,9.811,24.13,normal
ACC_TRIP003_00038,TRIP223,2024-02-06T07:52:38Z,38,0.493,-0.303,9.864,9.881,22.97,normal
