audio_id,trip_id,timestamp,elapsed_seconds,audio_level_db,audio_classification,sustained_duration_sec
AUD001,TRIP221,06-02-2024 06:00:00,0,50,quiet,0
AUD002,TRIP221,06-02-2024 06:00:01,1,67,conversation,0
AUD003,TRIP221,06-02-2024 06:00:02,2,54,quiet,0
AUD004,TRIP221,06-02-2024 06:00:03,3,50,quiet,0
AUD005,TRIP221,06-02-2024 06:00:04,4,68,conversation,0
AUD006,TRIP221,06-02-2024 06:00:05,5,61,normal,0
AUD007,TRIP221,06-02-2024 06:00:06,6,69,conversation,0
AUD008,TRIP221,06-02-2024 06:00:07,7,64,conversation,0
AUD009,TRIP221,06-02-2024 06:00:08,8,59,normal,0
AUD010,TRIP221,06-02-2024 06:00:09,9,50,quiet,0
AUD011,TRIP221,06-02-2024 06:00:10,10,60,normal,0
AUD012,TRIP221,06-02-2024 06:00:11,11,62,conversation,0
AUD013,TRIP221,06-02-2024 06:00:12,12,52,quiet,0
AUD014,TRIP221,06-02-2024 06:00:13,13,51,quiet,0
AUD015,TRIP221,06-02-2024 06:00:14,14,57,normal,0
AUD016,TRIP221,06-02-2024 06:00:15,15,51,quiet,0
AUD017,TRIP221,06-02-2024 06:00:16,16,58,normal,0
AUD018,TRIP221,06-02-2024 06:00:17,17,56,normal,0
AUD019,TRIP221,06-02-2024 06:00:18,18,69,conversation,0
AUD020,TRIP221,06-02-2024 06:00:19,19,67,conversation,0
AUD021,TRIP221,06-02-2024 06:00:20,20,50,quiet,0
AUD022,TRIP221,06-02-2024 06:00:21,21,61,normal,0
AUD023,TRIP221,06-02-2024 06:00:22,22,60,normal,0
AUD024,TRIP221,06-02-2024 06:00:23,23,66,conversation,0
AUD025,TRIP221,06-02-2024 06:00:24,24,52,quiet,0
AUD026,TRIP221,06-02-2024 06:00:25,25,57,normal,0
AUD027,TRIP221,06-02-2024 06:00:26,26,54,quiet,0
AUD028,TRIP221,06-02-2024 06:00:27,27,60,normal,0
AUD029,TRIP221,06-02-2024 06:00:28,28,70,conversation,0
AUD030,TRIP221,06-02-2024 06:00:29,29,56,normal,0
AUD031,TRIP221,06-02-2024 06:00:30,30,53,quiet,0
AUD032,TRIP221,06-02-2024 06:00:31,31,65,conversation,0
AUD033,TRIP221,06-02-2024 06:00:32,32,58,normal,0
AUD034,TRIP221,06-02-2024 06:00:33,33,61,normal,0
AUD035,TRIP221,06-02-2024 06:00:34,34,69,conversation,0
AUD036,TRIP221,06-02-2024 06:00:35,35,52,quiet,0
AUD037,TRIP221,06-02-2024 06:00:36,36,70,conversation,0
AUD038,TRIP221,06-02-2024 06:00:37,37,63,conversation,0
AUD039,TRIP221,06-02-2024 06:00:38,38,50,quiet,0
AUD040,TRIP221,06-02-2024 06:00:39,39,51,quiet,0
AUD041,TRIP221,06-02-2024 06:00:40,40,57,normal,0
AUD042,TRIP221,06-02-2024 06:00:41,41,60,normal,0
AUD043,TRIP221,06-02-2024 06:00:42,42,63,conversation,0
AUD044,TRIP221,06-02-2024 06:00:43,43,51,quiet,0
AUD045,TRIP221,06-02-2024 06:00:44,44,69,conversation,0
AUD046,TRIP221,06-02-2024 06:00:45,45,66,conversation,0
AUD047,TRIP221,06-02-2024 06:00:46,46,70,conversation,0
AUD048,TRIP221,06-02-2024 06:00:47,47,60,normal,0
AUD049,TRIP221,06-02-2024 06:00:48,48,58,normal,0
AUD050,TRIP221,06-02-2024 06:00:49,49,51,quiet,0
AUD051,TRIP221,06-02-2024 06:00:50,50,68,conversation,0
AUD052,TRIP221,06-02-2024 06:00:51,51,60,normal,0
AUD053,TRIP221,06-02-2024 06:00:52,52,54,quiet,0
AUD054,TRIP221,06-02-2024 06:00:53,53,59,normal,0
AUD055,TRIP221,06-02-2024 06:00:54,54,55,normal,0
AUD056,TRIP221,06-02-2024 06:00:55,55,68,conversation,0
AUD057,TRIP221,06-02-2024 06:00:56,56,50,quiet,0
AUD058,TRIP221,06-02-2024 06:00:57,57,56,normal,0
AUD059,TRIP221,06-02-2024 06:00:58,58,59,normal,0
AUD060,TRIP221,06-02-2024 06:00:59,59,70,conversation,0
AUD061,TRIP221,06-02-2024 06:01:00,60,62,conversation,0
AUD062,TRIP221,06-02-2024 06:01:01,61,61,normal,0
AUD063,TRIP221,06-02-2024 06:01:02,62,58,normal,0
AUD064,TRIP221,06-02-2024 06:01:03,63,58,normal,0
AUD065,TRIP221,06-02-2024 06:01:04,64,53,quiet,0
AUD066,TRIP221,06-02-2024 06:01:05,65,55,normal,0
AUD067,TRIP221,06-02-2024 06:01:06,66,59,normal,0
AUD068,TRIP221,06-02-2024 06:01:07,67,50,quiet,0
AUD069,TRIP221,06-02-2024 06:01:08,68,67,conversation,0
AUD070,TRIP221,06-02-2024 06:01:09,69,60,normal,0
AUD071,TRIP221,06-02-2024 06:01:10,70,55,normal,0
